LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801134	4676065	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	63	ppm	Single				63	ppm			6.78792	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801134	4676067			322	Temperature during measurement	leaf temperature	27.7	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801142	4676110			561	Measurement series ID	Measurement series ID	86											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801142	4676111			834	Sample ID (Accession ID)	Set_in_Workbook	379											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801142	4676112			323	Atmospheric CO2 concentration during measurement (Ca)	ca	64.5	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801142	4676113	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	60	ppm	Single				60	ppm		4676059	7.0534	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801142	4676115			322	Temperature during measurement	leaf temperature	28.7	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801143	4676116			561	Measurement series ID	Measurement series ID	87											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801143	4676117			834	Sample ID (Accession ID)	Set_in_Workbook	380											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801143	4676118			323	Atmospheric CO2 concentration during measurement (Ca)	ca	27	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801143	4676119	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	31	ppm	Single				31	ppm			10.8105	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801143	4676121			322	Temperature during measurement	leaf temperature	28.2	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801144	4676122			561	Measurement series ID	Measurement series ID	88											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801144	4676123			834	Sample ID (Accession ID)	Set_in_Workbook	381											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801144	4676124			323	Atmospheric CO2 concentration during measurement (Ca)	ca	30	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801144	4676125	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	38	ppm	Single				38	ppm		4675809	9.63677	unpub.			
