LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222301	2343775			321	Light during measurement	Light (µmol m-2 s-1	1600	micromol/m2/s	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222301	2343777			323	Atmospheric CO2 concentration during measurement (Ca)	Ambient CO2 (ppm)	320	ppm	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222301	2343778	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	Intercellular CO2 (ppm)	262.240506329114	ppm	Single				262.240506329114	ppm			1.49922	Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343788			413	Plant developmental status / plant age / maturity / plant life stage	Seedlings (True/False)	F		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.		unknown	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343789			235	Comments, notes, methods	Other info	1-yr-old leaves		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343790			112	Location Site ID	Geography	41°7'N, 5°48'W											Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: true geography of collection		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343791			59	Latitude	Latitude	41.12	dec	Single				41.12					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343792			60	Longitude	Longitude	-5.8	dec	Single				-5.8					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343793			193	Vegetation type / Biome	Community type	Dehsa (Wald-Weide)		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343794			80	Mean sum of annual precipitation (PPT / MAP / TAP)	Annual precipitation (mm)	247.666666666667	mm/year	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: actual climate reported		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343795			61	Altitude	Altitude	790	m	Single				790	m				Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343796			241	Measurement date / sampling date	sampling date	1993		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343805			322	Temperature during measurement	Tleaf(C)	30	C	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343806			321	Light during measurement	Light (µmol m-2 s-1	1600	micromol/m2/s	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343808			323	Atmospheric CO2 concentration during measurement (Ca)	Ambient CO2 (ppm)	320	ppm	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Quercus ilex	45402	Quercus ilex	222302	2343809	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	Intercellular CO2 (ppm)	235.582278481013	ppm	Single				235.582278481013	ppm			0.881212	Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801088	4675806			561	Measurement series ID	Measurement series ID	32											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801088	4675807			834	Sample ID (Accession ID)	Set_in_Workbook	218											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801088	4675808			323	Atmospheric CO2 concentration during measurement (Ca)	ca	32	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801088	4675809	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	38	ppm	Single				38	ppm			9.63677	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801088	4675811			322	Temperature during measurement	leaf temperature	26.2	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801089	4675812			561	Measurement series ID	Measurement series ID	33											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801089	4675813			834	Sample ID (Accession ID)	Set_in_Workbook	219											unpub.			
